simulation_number,probability,payout_multiplier
541,2e-05,81.75
542,2e-05,81.9
543,2.2e-05,82.05
544,2e-05,82.2
545,1e-05,82.35
546,2e-05,82.5
547,1.4e-05,82.65
548,1.6e-05,82.8
549,1.6e-05,82.95
550,2.2e-05,83.1
551,1.6e-05,83.25
552,1.2e-05,83.4
553,1.6e-05,83.55
554,8e-06,83.7
555,2.2e-05,83.85
556,1.6e-05,84.0
557,2.6e-05,84.15
558,1.2e-05,84.3
559,2e-05,84.45
560,2.2e-05,84.6
561,3.6e-05,84.75
562,1e-05,84.9
563,2e-05,85.05
564,1.6e-05,85.2
565,1.6e-05,85.35
566,1.2e-05,85.5
567,1.8e-05,85.65
568,8e-06,85.8
569,1.4e-05,85.95
570,1.6e-05,86.1
571,1.6e-05,86.25
572,1.2e-05,86.4
573,1.2e-05,86.55
574,4e-06,86.7
575,1e-05,86.85
576,2e-05,87.0
577,2.2e-05,87.15
578,1.2e-05,87.3
579,1.8e-05,87.45
580,1.2e-05,87.6
581,8e-06,87.75
582,1.4e-05,87.9
583,1.4e-05,88.05
584,1.2e-05,88.2
585,8e-06,88.35
586,1.6e-05,88.5
587,2e-05,88.65
588,1.4e-05,88.8
589,1.2e-05,88.95
590,8e-06,89.1
591,1.2e-05,89.25
592,1.4e-05,89.4
593,1.2e-05,89.55
594,8e-06,89.7
595,1.8e-05,89.85
596,1.4e-05,90.0
597,1e-05,90.15
598,1e-05,90.3
599,1.6e-05,90.45
600,2e-06,90.6
601,4e-06,90.75
602,6e-06,90.9
603,1.2e-05,91.05
604,1.8e-05,91.2
605,1.4e-05,91.35
606,6e-06,91.5
607,8e-06,91.65
608,1.8e-05,91.8
609,1.2e-05,91.95
610,1e-05,92.1
611,6e-06,92.25
612,1.2e-05,92.4
613,8e-06,92.55
614,6e-06,92.7
615,8e-06,92.85
616,4e-06,93.0
617,4e-06,93.15
618,6e-06,93.3
619,1.8e-05,93.45
620,1.2e-05,93.6
621,1e-05,93.75
622,8e-06,93.9
623,8e-06,94.05
624,2e-06,94.2
625,8e-06,94.35
626,6e-06,94.5
627,1e-05,94.65
628,2e-06,94.8
629,4e-06,94.95
630,1e-05,95.1
631,8e-06,95.25
632,6e-06,95.4
633,2e-06,95.55
634,1e-05,95.7
635,8e-06,95.85
636,1e-05,96.0
637,2e-06,96.15
638,6e-06,96.3
639,4e-06,96.45
640,2e-06,96.6
641,8e-06,96.75
642,4e-06,96.9
643,8e-06,97.05
644,1e-05,97.2
645,6e-06,97.35
646,6e-06,97.5
647,2e-06,97.65
648,1.2e-05,97.8
649,4e-06,97.95
650,6e-06,98.1
651,6e-06,98.25
652,6e-06,98.4
653,1e-05,98.55
654,2e-06,98.7
655,4e-06,98.85
656,6e-06,99.0
657,4e-06,99.15
658,4e-06,99.3
659,4e-06,99.45
660,6e-06,99.6
661,2e-06,99.75
662,2e-06,99.9
663,4e-06,100.05
664,4e-06,100.2
665,6e-06,100.35
666,6e-06,100.5
667,4e-06,100.65
668,1.2e-05,100.8
669,6e-06,101.1
670,6e-06,101.25
671,6e-06,101.4
672,6e-06,101.55
673,6e-06,101.7
674,1e-05,101.85
675,2e-06,102.0
676,6e-06,102.15
677,8e-06,102.3
678,4e-06,102.45
679,4e-06,102.6
680,4e-06,102.75
681,2e-06,102.9
682,6e-06,103.05
683,2e-06,103.2
684,4e-06,103.35
685,4e-06,103.65
686,2e-06,103.95
687,4e-06,104.1
688,6e-06,104.25
689,4e-06,104.4
690,4e-06,104.55
691,6e-06,104.85
692,4e-06,105.15
693,2e-06,105.3
694,1e-05,105.75
695,2e-06,105.9
696,4e-06,106.05
697,4e-06,106.2
698,4e-06,106.35
699,6e-06,106.5
700,4e-06,106.65
701,6e-06,106.8
702,2e-06,106.95
703,4e-06,107.1
704,4e-06,107.4
705,4e-06,107.55
706,4e-06,108.45
707,2e-06,108.6
708,2e-06,108.75
709,4e-06,108.9
710,2e-06,109.05
711,2e-06,109.2
712,2e-06,109.5
713,2e-06,109.8
714,4e-06,109.95
715,4e-06,110.1
716,2e-06,110.25
717,4e-06,110.7
718,4e-06,110.85
719,2e-06,111.0
720,4e-06,111.3
721,2e-06,111.45
722,4e-06,111.6
723,2e-06,111.75
724,2e-06,111.9
725,6e-06,112.2
726,2e-06,112.5
727,2e-06,112.8
728,2e-06,113.25
729,2e-06,113.55
730,2e-06,113.7
731,4e-06,114.0
732,2e-06,115.5
733,6e-06,115.65
734,2e-06,115.95
735,2e-06,116.4
736,2e-06,116.55
737,2e-06,116.85
738,2e-06,117.3
739,2e-06,117.6
740,2e-06,117.9
741,2e-06,118.05
742,4e-06,118.2
743,2e-06,118.65
744,2e-06,118.8
745,2e-06,119.1
746,2e-06,119.7
747,2e-06,121.2
748,2e-06,123.45
749,2e-06,124.5
750,2e-06,125.4
751,4e-06,126.15
752,2e-06,126.3
753,2e-06,126.75
754,2e-06,129.15
755,2e-06,130.05
756,2e-06,133.05
757,2e-06,134.7
758,2e-06,139.35
759,2e-06,140.55
760,2e-06,148.65
761,2e-06,149.1
762,2e-06,150.15
763,2e-06,161.1
764,2e-06,161.7
765,2e-06,167.7
766,2e-06,198.6
767,2e-06,201.45
768,2e-06,202.05
769,2e-06,203.1
770,2e-06,206.25
